PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
lEvT8,1kb5/1p3r2/1Qn3p1/2Rp4/3p1q2/1P1Pb1N1/P4pKP/5R2 w - - 2 36,c5c6 f4f3,1070,107,71,52,master mate mateIn1 middlegame oneMove,https://lichess.org/U7ef5nYl#71,
2OPut,5rk1/p6p/1p2q3/3b3p/2Bbp3/8/PPQ3PP/R1B4K w - - 2 26,c4d5 f8f1,1070,77,100,155,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/OV4H10xX#51,
eCJ2L,2R2qk1/1p4p1/4p1QB/pP1pP3/P2b4/7P/6P1/7K b - - 1 39,f8c8 g6g7,1071,202,82,15,endgame mate mateIn1 oneMove,https://lichess.org/tZjWnFNU/black#78,
9VFAH,3r2k1/R7/6pN/1p1n4/p1p5/P4PP1/1P3K2/8 b - - 0 57,g8h8 h6f7 h8g8 f7d8 c4c3 b2c3,1072,119,33,40,crushing endgame fork long,https://lichess.org/91cVnvdD/black#114,
frys9,2r3k1/6pp/p2pp3/1p2n1q1/4P3/P2B3P/1PP2QP1/5RK1 b - - 1 22,e5d3 f2f7 g8h8 f7f8 c8f8 f1f8,1072,76,90,335,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/A8kr3CMn/black#44,
Yijo5,4q1k1/ppp2ppp/3b4/6B1/3Q2n1/2N4P/PPP2PP1/6K1 w - - 0 18,g1f1 g4h2 f1g1 e8e1,1074,77,83,276,endgame mate mateIn2 short,https://lichess.org/6q13faRW#35,Ruy_Lopez Ruy_Lopez_Berlin_Defense
QtAwq,3r3k/p1q2r1N/1pp1p1pQ/1n2P3/8/5R2/P4PPP/4R1K1 b - - 0 28,f7h7 f3f8 d8f8 h6f8,1074,77,82,137,mate mateIn2 middlegame short,https://lichess.org/1nuONf1z/black#56,
mD3MF,1r1r2k1/1bQ3p1/4Pq2/2p4p/8/1P2R1P1/P4P1P/R5K1 w - - 3 33,e6e7 f6a1 e3e1 a1e1,1074,75,100,187,hangingPiece mate mateIn2 middlegame short,https://lichess.org/h5ohYpHZ#65,
nO1vX,1r3rk1/ppp2p2/3p2b1/8/2P5/8/PPQKNq2/6RR b - - 3 25,b8e8 g1g6 f7g6 c2g6,1075,77,97,3070,mate mateIn2 middlegame short,https://lichess.org/9uAYerdw/black#50,
pTaKY,6Q1/pb2kr2/3p1b2/2p3Q1/2P1r3/1P1p4/P5PP/5NK1 w - - 2 34,g5g6 f6d4 f1e3 d4e3 g1h1 f7f1,1076,76,99,690,backRankMate long mate mateIn3 middlegame,https://lichess.org/PvMB40vt#67,
Z8eJY,5r2/2pQ2k1/7p/pp2P1p1/3p4/2qP2PP/P2RK1P1/8 b - - 2 33,f8f7 e5e6 f7d7 e6d7 c3c6 d7d8q,1076,76,98,2787,advancedPawn advantage endgame long promotion sacrifice,https://lichess.org/W29Obf6R/black#66,
57OOU,4Rrk1/5p1p/3p2p1/2p2q2/8/1PQ3P1/r1P2P1P/4R1K1 b - - 2 31,a2c2 e8f8 g8f8 c3h8,1076,76,97,8243,attraction endgame mate mateIn2 short,https://lichess.org/4UlzCnxE/black#62,
Yu0IM,4r1k1/5Np1/p7/1p5R/2rp4/P6P/1n6/5R1K b - - 1 38,g7g6 h5h8 g8g7 h8e8,1077,169,83,37,crushing endgame master short skewer,https://lichess.org/XNyO9nQ7/black#76,
Xw5LC,8/4RN2/1p4p1/p3p1P1/4kr2/5nK1/PP5P/8 b - - 5 46,f4f5 f7d6 e4d5 d6f5,1079,76,96,3394,crushing endgame fork short,https://lichess.org/2bDJEqes/black#92,
zZfxD,r5k1/pp4pp/2p1p3/2PpP3/1P1P2P1/P4Qnq/1B6/5RK1 b - - 1 25,h3h4 f3f7 g8h8 f7f8 a8f8 f1f8,1079,85,68,99,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/2miUr3qD/black#50,
NCxrq,8/8/2p2k2/1p1p1N1p/3P1Kp1/2P3P1/PP3nP1/8 w - - 10 45,f5e3 f2d3,1081,78,100,176,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/KksUijp3#89,
XbrLp,3Q4/5ppk/p3p2p/2p5/8/6N1/Prq2PPP/R5K1 w - - 3 28,g3h1 b2b1 a1b1 c2b1 d8d1 b1d1,1081,77,97,1498,backRankMate endgame long mate mateIn3,https://lichess.org/y1Gg5wdq#55,
Pn8tv,5rkb/pb2Qp2/2p3p1/4p3/3pP3/2Nq4/PP3RPP/5R1K w - - 0 24,f2f7 d3f1 f7f1 f8f1,1081,80,91,2772,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/jAwn1Hi4#47,
9qPjJ,r4r1k/ppp2p2/3p2pN/2bP4/2B4q/7P/PPP2P2/R1BQR1K1 w - - 1 18,d1g4 h4f2 g1h1 f2e1,1082,76,91,712,advantage fork middlegame short,https://lichess.org/AfRs9Wt2#35,Italian_Game Italian_Game_Giuoco_Pianissimo
ayiZ9,r2q2k1/1p4pp/pb1Pp3/3nN3/8/1Pp3B1/6PP/R4Q1K b - - 0 20,d8d6 f1f7 g8h8 e5g6 h7g6 g3d6,1082,78,89,342,advantage discoveredAttack long middlegame,https://lichess.org/I4u3EAWH/black#40,
O3MZw,3r2k1/p4pp1/Q7/4pq1p/8/4B1K1/P4PPP/7R w - - 0 24,h2h4 f5g4 g3h2 g4h4 h2g1 d8d1,1082,79,97,508,crushing deflection endgame interference long,https://lichess.org/eV2vv3gx#47,
xpYOv,3r2k1/p4pp1/5q1p/Q1p5/2B5/1P2P2P/P2r1PP1/R3R1K1 w - - 1 25,a1c1 f6f2 g1h2 f2g2,1083,83,79,215,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6Y5xO9fW#49,
TBAir,1r3rk1/p1p1qppp/2pb4/2Pb4/3P4/1PN1B1P1/P5PP/R2Q1RK1 w - - 1 18,c5d6 e7e3 f1f2 e3c3,1083,76,95,575,advantage fork hangingPiece middlegame short,https://lichess.org/0fcvdZLX#35,French_Defense French_Defense_Other_variations
pVncv,r4r2/pppk2p1/3p3p/3Np3/4P1q1/3PP2n/PPQ3PP/R6K b - - 8 22,f8f2 c2c7 d7e8 c7e7,1084,79,96,4749,mate mateIn2 middlegame short,https://lichess.org/6u70u0xS/black#44,
ABTGr,3rr1k1/1B3p1p/pp4p1/2p5/P1P5/3q4/1Q3PPP/R5KR w - - 3 21,b7f3 d3d1 a1d1 d8d1 f3d1 e8e1,1084,82,95,3989,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/2NlCJ2fc#41,
